Datetime,Temp,Umi,Vel_vento,Dir_vento,Precipitacao,Ori_vento
2000-08-29 22:00:00,15.0,95,0.4,131,0.0,SE
2000-11-08 01:00:00,15.0,95,0.2,43,0.0,NE
2000-06-30 12:00:00,15.0,55,2.1,241,0.0,SO
2000-06-29 12:00:00,15.0,71,3.9,269,0.0,O
2000-12-07 03:00:00,15.0,87,0.5,46,0.0,NE
2000-06-18 02:00:00,15.0,99,0.7,273,0.1,O
2000-06-16 05:00:00,15.0,99,0.5,172,0.2,S
2000-06-17 07:00:00,15.0,100,0.5,249,0.7,O
2000-07-17 18:00:00,15.0,97,0.6,89,0.2,L
2000-07-17 19:00:00,15.0,97,1.5,10,0.1,N
2000-06-17 21:00:00,15.0,93,0.3,342,0.1,N
2000-07-17 21:00:00,15.0,98,0.7,355,0.0,N
2000-05-22 07:00:00,15.0,94,0.8,60,0.0,NE
2000-07-17 20:00:00,15.0,97,0.7,145,0.0,SE
2000-11-03 22:00:00,15.0,66,0.4,96,0.0,L
2000-07-08 07:00:00,15.0,97,0.8,144,0.0,SE
2000-07-08 03:00:00,15.0,97,0.2,132,0.0,SE
2000-07-07 22:00:00,15.0,74,0.9,73,0.0,L
2000-11-09 02:00:00,15.0,96,0.5,282,0.0,O
2000-07-07 17:00:00,15.0,68,1.0,145,0.0,SE
2000-07-05 09:00:00,15.0,88,0.8,112,0.5,L
2000-07-07 19:00:00,15.0,90,0.8,78,0.0,L
2000-07-21 05:00:00,15.1,98,0.5,244,0.0,SO
2000-10-29 06:00:00,15.1,97,0.7,61,0.0,NE
2000-06-17 23:00:00,15.1,94,0.5,303,0.1,NO
2000-10-29 04:00:00,15.1,96,0.6,65,0.0,NE
2000-06-18 00:00:00,15.1,96,0.4,63,0.1,NE
2000-06-18 01:00:00,15.1,97,0.2,306,0.1,NO
2000-07-11 07:00:00,15.1,97,0.5,74,0.0,L
2000-06-18 03:00:00,15.1,99,0.5,25,0.1,NE
2000-12-07 02:00:00,15.1,87,0.4,40,0.0,NE
2000-07-13 22:00:00,15.1,96,0.5,63,0.0,NE
2000-07-05 06:00:00,15.1,92,2.3,165,2.1,S
2000-06-29 13:00:00,15.1,65,3.7,272,0.0,O
2000-06-29 17:00:00,15.1,63,2.0,298,0.0,NO
2000-09-11 03:00:00,15.1,95,0.4,299,0.0,NO
2000-07-12 21:00:00,15.1,83,0.8,21,0.0,N
2000-06-30 21:00:00,15.1,78,1.1,184,0.0,S
2000-07-07 23:00:00,15.1,74,0.2,229,0.0,SO
2000-07-10 19:00:00,15.1,91,0.7,11,0.0,N
2000-08-15 07:00:00,15.1,96,0.4,131,0.0,SE
2000-08-10 20:00:00,15.1,94,0.5,86,0.0,L
2000-08-22 09:00:00,15.1,76,0.5,108,0.1,L
2000-05-23 02:00:00,15.1,95,0.5,48,0.0,NE
2000-06-12 03:00:00,15.1,100,0.4,88,0.1,L
2000-05-20 04:00:00,15.1,94,0.4,76,0.0,L
2000-07-19 06:00:00,15.1,93,0.8,26,0.0,NE
2000-08-26 21:00:00,15.1,94,0.2,78,0.0,L
2000-05-16 23:00:00,15.1,93,0.4,62,0.0,NE
2000-06-17 20:00:00,15.2,91,0.2,259,0.1,O
2000-08-24 05:00:00,15.2,97,0.4,41,0.0,NE
2000-07-05 12:00:00,15.2,94,0.9,297,0.4,NO
2000-07-23 03:00:00,15.2,97,0.3,159,0.0,S
2000-11-05 03:00:00,15.2,96,0.5,34,0.0,NE
2000-07-05 05:00:00,15.2,91,3.0,185,1.9,S
2000-11-05 01:00:00,15.2,92,0.7,74,0.0,L
2000-05-19 21:00:00,15.2,92,0.8,284,0.0,O
2000-09-08 07:00:00,15.2,98,0.3,96,0.0,L
2000-05-23 03:00:00,15.2,96,0.8,84,0.0,L
2000-05-20 05:00:00,15.2,94,0.6,92,0.0,L
2000-07-05 07:00:00,15.2,91,2.1,161,2.4,S
2000-11-09 01:00:00,15.2,94,0.6,37,0.0,NE
2000-07-08 01:00:00,15.2,96,0.5,88,0.0,L
2000-07-08 18:00:00,15.2,86,0.6,19,0.0,N
2000-07-18 09:00:00,15.2,99,0.2,129,0.1,SE
2000-08-29 00:00:00,15.2,96,0.6,248,0.0,O
2000-08-09 07:00:00,15.2,95,0.6,89,0.0,L
2000-10-29 02:00:00,15.2,96,0.5,83,0.0,L
2000-08-26 00:00:00,15.2,94,0.8,274,0.0,O
2000-10-29 05:00:00,15.2,97,0.3,334,0.0,NO
2000-05-22 03:00:00,15.2,94,0.8,71,0.0,L
2000-08-06 04:00:00,15.2,69,0.5,271,0.0,O
2000-07-11 20:00:00,15.2,95,0.4,111,0.0,L
2000-08-06 20:00:00,15.2,88,1.0,100,0.0,L
2000-08-06 21:00:00,15.2,86,1.4,98,0.0,L
2000-07-17 17:00:00,15.2,97,0.6,287,0.2,O
2000-08-15 00:00:00,15.2,95,0.9,287,0.1,O
2000-09-07 08:00:00,15.2,97,0.6,88,0.0,L
2000-07-17 16:00:00,15.2,96,0.5,312,0.4,NO
2000-08-15 06:00:00,15.2,97,0.4,255,0.0,O
2000-08-27 04:00:00,15.2,97,0.2,330,0.0,NO
2000-06-18 04:00:00,15.2,99,0.5,230,0.1,SO
2000-05-17 05:00:00,15.2,94,0.6,151,0.0,SE
2000-05-13 20:00:00,15.2,93,0.5,268,0.0,O
2000-11-08 00:00:00,15.2,74,0.4,79,0.0,L
2000-08-16 06:00:00,15.2,96,0.3,14,0.3,N
2000-06-12 04:00:00,15.2,100,0.7,56,0.0,NE
2000-06-14 10:00:00,15.2,96,0.7,276,0.0,O
2000-11-06 22:00:00,15.2,74,0.5,23,0.0,NE
2000-05-15 20:00:00,15.2,93,0.4,152,0.0,SE
2000-05-18 01:00:00,15.2,92,0.4,74,0.0,L
2000-06-16 02:00:00,15.2,99,1.2,263,0.0,O
2000-06-30 17:00:00,15.2,58,1.8,198,0.0,S
2000-06-17 08:00:00,15.2,100,0.2,8,0.5,N
2000-05-18 07:00:00,15.2,95,0.4,360,0.0,N
2000-05-18 19:00:00,15.2,90,0.4,25,0.0,NE
2000-07-17 15:00:00,15.2,96,1.7,245,0.4,SO
2000-06-29 14:00:00,15.2,62,3.3,275,0.0,O
2000-07-05 22:00:00,15.3,97,0.5,43,0.3,NE
2000-06-30 13:00:00,15.3,54,2.0,231,0.0,SO
2000-06-18 05:00:00,15.3,99,0.5,239,0.1,SO
2000-08-08 06:00:00,15.3,98,0.5,144,0.0,SE
2000-07-08 08:00:00,15.3,98,0.7,137,0.0,SE
2000-09-06 06:00:00,15.3,97,0.4,83,0.0,L
2000-06-18 06:00:00,15.4,98,0.6,237,0.1,SO
2000-10-22 03:00:00,15.4,93,0.8,68,0.0,L
2000-09-06 04:00:00,15.4,98,0.2,86,0.0,L
2000-08-25 22:00:00,15.4,95,0.8,76,0.0,L
2000-08-21 08:00:00,15.4,81,3.0,181,0.1,S
2000-07-05 21:00:00,15.4,96,0.6,42,0.1,NE
2000-08-30 07:00:00,15.5,97,0.6,172,0.0,S
2000-08-10 22:00:00,15.5,96,0.4,309,0.0,NO
2000-10-21 04:00:00,15.5,93,0.3,209,0.0,SO
2000-08-30 05:00:00,15.5,96,0.9,72,0.0,L
2000-09-23 03:00:00,15.5,96,0.5,84,0.0,L
2000-09-07 22:00:00,15.5,93,0.3,271,0.0,O
2000-09-11 01:00:00,15.5,96,0.9,112,0.0,L
2000-09-11 00:00:00,15.5,96,0.6,99,0.0,L
2000-08-08 05:00:00,15.5,98,0.8,82,0.0,L
2000-08-15 08:00:00,15.5,96,0.2,90,0.7,L
2000-08-23 23:00:00,15.5,96,0.7,68,0.0,L
2000-11-03 21:00:00,15.5,65,0.3,15,0.0,N
